transition,description,feature,beta
rho2,C2 → C0  (chronic resolution),Dizziness,-0.6718358993530273
rho2,C2 → C0  (chronic resolution),Pain Location_Head,2.983609914779663
rho2,C2 → C0  (chronic resolution),Nausea,-0.591759204864502
rho2,C2 → C0  (chronic resolution),Fever,-0.5827175378799438
rho2,C2 → C0  (chronic resolution),Jaundice,-0.12204489856958389
rho2,C2 → C0  (chronic resolution),Shortness of Breath,-0.2891724407672882
rho2,C2 → C0  (chronic resolution),Swelling,-0.38319796323776245
rho2,C2 → C0  (chronic resolution),Headache,-0.7894797921180725
rho2,C2 → C0  (chronic resolution),Fatigue,-0.39260563254356384
kap,C1 → C2  (chronicisation),Pain Intensity,-0.16884708404541016
kap,C1 → C2  (chronicisation),Pain Location_No Pain,3.0914793014526367
kap,C1 → C2  (chronicisation),Oxygen Saturation (%),-0.03363914042711258
kap,C1 → C2  (chronicisation),Body Temperature (°C),0.19830113649368286
kap,C1 → C2  (chronicisation),Pain Crises Frequency (past year),-0.1491224616765976
kap,C1 → C2  (chronicisation),Respiratory Rate (bpm),-0.13925115764141083
kap,C1 → C2  (chronicisation),Heart Rate (bpm),-0.1542670577764511
kap,C1 → C2  (chronicisation),Acute Chest Syndrome,-0.09566740691661835
kap,C1 → C2  (chronicisation),Hospitalization History (past year),-0.11954620480537415
kap,C1 → C2  (chronicisation),Dizziness,-0.1289871484041214
kap,C1 → C2  (chronicisation),Pain Location_Head,-0.2214999496936798
kap,C1 → C2  (chronicisation),Nausea,-0.14858244359493256
kap,C1 → C2  (chronicisation),Fever,-0.13449810445308685
kap,C1 → C2  (chronicisation),Jaundice,-0.11479442566633224
kap,C1 → C2  (chronicisation),Shortness of Breath,-0.12291375547647476
kap,C1 → C2  (chronicisation),Swelling,-0.1145780012011528
kap,C1 → C2  (chronicisation),Headache,-0.11364792287349701
kap,C1 → C2  (chronicisation),Fatigue,-0.1376596987247467
